# wavelength[µm] (rp/rs)^2 error
1.88097967e+00 1.98040651e-02 1.98040651e-07
1.87438888e+00 1.97650342e-02 1.97650342e-07
1.86782118e+00 1.97610464e-02 1.97610464e-07
1.86127649e+00 1.98219070e-02 1.98219070e-07
1.85475474e+00 1.97489828e-02 1.97489828e-07
1.84825583e+00 1.97712174e-02 1.97712174e-07
1.84177970e+00 1.97920523e-02 1.97920523e-07
1.83532626e+00 1.97494513e-02 1.97494513e-07
1.82889544e+00 1.96235138e-02 1.96235138e-07
1.82248714e+00 1.97223059e-02 1.97223059e-07
1.81610130e+00 1.96638639e-02 1.96638639e-07
1.80973784e+00 1.96856289e-02 1.96856289e-07
1.80339667e+00 1.96932457e-02 1.96932457e-07
1.79707772e+00 1.96760486e-02 1.96760486e-07
1.79078091e+00 1.96190050e-02 1.96190050e-07
1.78450617e+00 1.96427197e-02 1.96427197e-07
1.77825341e+00 1.96198917e-02 1.96198917e-07
1.77202256e+00 1.95778091e-02 1.95778091e-07
1.76581355e+00 1.95147729e-02 1.95147729e-07
1.75962629e+00 1.95309186e-02 1.95309186e-07
1.75346071e+00 1.95185655e-02 1.95185655e-07
1.74731673e+00 1.94492722e-02 1.94492722e-07
1.74119428e+00 1.94124809e-02 1.94124809e-07
1.73509328e+00 1.94257069e-02 1.94257069e-07
1.72901367e+00 1.94736659e-02 1.94736659e-07
1.72295535e+00 1.93865047e-02 1.93865047e-07
1.71691826e+00 1.94005447e-02 1.94005447e-07
1.71090232e+00 1.92987255e-02 1.92987255e-07
1.70490747e+00 1.92525387e-02 1.92525387e-07
1.69893362e+00 1.92688032e-02 1.92688032e-07
1.69298070e+00 1.92175606e-02 1.92175606e-07
1.68704864e+00 1.92249332e-02 1.92249332e-07
1.68113736e+00 1.92028297e-02 1.92028297e-07
1.67524680e+00 1.92234243e-02 1.92234243e-07
1.66937688e+00 1.92603849e-02 1.92603849e-07
1.66352752e+00 1.92593499e-02 1.92593499e-07
1.65769867e+00 1.92875854e-02 1.92875854e-07
1.65189023e+00 1.93058602e-02 1.93058602e-07
1.64610215e+00 1.92811593e-02 1.92811593e-07
