# wavelength[µm] (rp/rs)^2 error
3.17336604e+00 3.74782677e-04 3.74782677e-09
3.16224684e+00 3.76130870e-04 3.76130870e-09
3.15116660e+00 3.77852495e-04 3.77852495e-09
3.14012518e+00 3.78950786e-04 3.78950786e-09
3.12912245e+00 3.80504457e-04 3.80504457e-09
3.11815827e+00 3.81820789e-04 3.81820789e-09
3.10723251e+00 3.82878396e-04 3.82878396e-09
3.09634503e+00 3.83950550e-04 3.83950550e-09
3.08549570e+00 3.84744043e-04 3.84744043e-09
3.07468438e+00 3.85550017e-04 3.85550017e-09
3.06391095e+00 3.86328558e-04 3.86328558e-09
3.05317527e+00 3.87070356e-04 3.87070356e-09
3.04247720e+00 3.87535508e-04 3.87535508e-09
3.03181662e+00 3.88072178e-04 3.88072178e-09
3.02119339e+00 3.88631040e-04 3.88631040e-09
3.01060739e+00 3.89096473e-04 3.89096473e-09
3.00005848e+00 3.89362239e-04 3.89362239e-09
2.98954653e+00 3.89605760e-04 3.89605760e-09
2.97907141e+00 3.89915702e-04 3.89915702e-09
2.96863300e+00 3.90120273e-04 3.90120273e-09
2.95823116e+00 3.90154888e-04 3.90154888e-09
2.94786577e+00 3.90432401e-04 3.90432401e-09
2.93753670e+00 3.90484757e-04 3.90484757e-09
2.92724382e+00 3.90505010e-04 3.90505010e-09
2.91698701e+00 3.90619147e-04 3.90619147e-09
2.90676613e+00 3.90666405e-04 3.90666405e-09
2.89658107e+00 3.90607246e-04 3.90607246e-09
2.88643170e+00 3.90607682e-04 3.90607682e-09
2.87631789e+00 3.90668909e-04 3.90668909e-09
2.86623952e+00 3.90732118e-04 3.90732118e-09
2.85619646e+00 3.90696650e-04 3.90696650e-09
2.84618859e+00 3.90764568e-04 3.90764568e-09
2.83621578e+00 3.90725344e-04 3.90725344e-09
2.82627793e+00 3.90790468e-04 3.90790468e-09
2.81637489e+00 3.90778110e-04 3.90778110e-09
2.80650655e+00 3.90758705e-04 3.90758705e-09
2.79667279e+00 3.90787707e-04 3.90787707e-09
2.78687349e+00 3.90837308e-04 3.90837308e-09
2.77710852e+00 3.90846718e-04 3.90846718e-09
2.76737777e+00 3.90868410e-04 3.90868410e-09
2.75768111e+00 3.90885361e-04 3.90885361e-09
2.74801843e+00 3.90839403e-04 3.90839403e-09
2.73838961e+00 3.90865079e-04 3.90865079e-09
2.72879453e+00 3.90817673e-04 3.90817673e-09
2.71923306e+00 3.90833356e-04 3.90833356e-09
2.70970510e+00 3.90813686e-04 3.90813686e-09
2.70021052e+00 3.90710192e-04 3.90710192e-09
2.69074922e+00 3.90778723e-04 3.90778723e-09
2.68132106e+00 3.90472734e-04 3.90472734e-09
2.67192594e+00 3.89890968e-04 3.89890968e-09
2.66256374e+00 3.89235006e-04 3.89235006e-09
2.65323434e+00 3.86979831e-04 3.86979831e-09
2.64393763e+00 3.77112282e-04 3.77112282e-09
2.63467350e+00 3.71957642e-04 3.71957642e-09
2.62544183e+00 3.69836293e-04 3.69836293e-09
2.61624251e+00 3.71248091e-04 3.71248091e-09
2.60707541e+00 3.69176742e-04 3.69176742e-09
2.59794044e+00 3.69599628e-04 3.69599628e-09
2.58883748e+00 3.67930610e-04 3.67930610e-09
2.57976642e+00 3.68487996e-04 3.68487996e-09
2.57072713e+00 3.65921899e-04 3.65921899e-09
2.56171953e+00 3.65761603e-04 3.65761603e-09
2.55274348e+00 3.63168189e-04 3.63168189e-09
2.54379888e+00 3.61494069e-04 3.61494069e-09
2.53488563e+00 3.61075127e-04 3.61075127e-09
2.52600360e+00 3.62510680e-04 3.62510680e-09
2.51715270e+00 3.59739436e-04 3.59739436e-09
2.50833281e+00 3.60095859e-04 3.60095859e-09
2.49954383e+00 3.57519526e-04 3.57519526e-09
2.49078564e+00 3.57974722e-04 3.57974722e-09
2.48205814e+00 3.57721112e-04 3.57721112e-09
2.47336122e+00 3.56129788e-04 3.56129788e-09
2.46469477e+00 3.53730878e-04 3.53730878e-09
2.45605869e+00 3.53816754e-04 3.53816754e-09
2.44745287e+00 3.51857843e-04 3.51857843e-09
2.43887720e+00 3.48860608e-04 3.48860608e-09
2.43033159e+00 3.51225574e-04 3.51225574e-09
2.42181591e+00 3.47809993e-04 3.47809993e-09
2.41333007e+00 3.50909215e-04 3.50909215e-09
2.40487397e+00 3.45813776e-04 3.45813776e-09
2.39644750e+00 3.48536542e-04 3.48536542e-09
2.38805055e+00 3.49367265e-04 3.49367265e-09
2.37968302e+00 3.47557685e-04 3.47557685e-09
2.37134482e+00 3.46094046e-04 3.46094046e-09
2.36303583e+00 3.49234301e-04 3.49234301e-09
2.35475595e+00 3.53580146e-04 3.53580146e-09
2.34650509e+00 3.49445661e-04 3.49445661e-09
2.33828313e+00 3.50711854e-04 3.50711854e-09
2.33008999e+00 3.52945375e-04 3.52945375e-09
2.32192555e+00 3.53534901e-04 3.53534901e-09
2.31378972e+00 3.52933217e-04 3.52933217e-09
2.30568240e+00 3.54557433e-04 3.54557433e-09
2.29760348e+00 3.57748632e-04 3.57748632e-09
2.28955288e+00 3.56643505e-04 3.56643505e-09
2.28153048e+00 3.57726319e-04 3.57726319e-09
2.27353619e+00 3.58907098e-04 3.58907098e-09
2.26556991e+00 3.60222154e-04 3.60222154e-09
2.25763155e+00 3.61284435e-04 3.61284435e-09
2.24972100e+00 3.62232823e-04 3.62232823e-09
2.24183817e+00 3.63377039e-04 3.63377039e-09
2.23398296e+00 3.64624858e-04 3.64624858e-09
2.22615527e+00 3.65717666e-04 3.65717666e-09
2.21835501e+00 3.67146626e-04 3.67146626e-09
2.21058209e+00 3.67895499e-04 3.67895499e-09
2.20283639e+00 3.68674523e-04 3.68674523e-09
2.19511784e+00 3.69623124e-04 3.69623124e-09
2.18742634e+00 3.70480859e-04 3.70480859e-09
2.17976178e+00 3.71839821e-04 3.71839821e-09
2.17212408e+00 3.72551387e-04 3.72551387e-09
2.16451314e+00 3.72510116e-04 3.72510116e-09
2.15692887e+00 3.73525508e-04 3.73525508e-09
2.14937118e+00 3.73941789e-04 3.73941789e-09
2.14183996e+00 3.74751130e-04 3.74751130e-09
2.13433514e+00 3.75827505e-04 3.75827505e-09
2.12685661e+00 3.76235855e-04 3.76235855e-09
2.11940429e+00 3.77037297e-04 3.77037297e-09
2.11197807e+00 3.77245016e-04 3.77245016e-09
2.10457788e+00 3.77892734e-04 3.77892734e-09
2.09720362e+00 3.78206899e-04 3.78206899e-09
2.08985520e+00 3.79475464e-04 3.79475464e-09
2.08253252e+00 3.79152364e-04 3.79152364e-09
2.07523551e+00 3.79492747e-04 3.79492747e-09
2.06796406e+00 3.80288859e-04 3.80288859e-09
2.06071809e+00 3.79656531e-04 3.79656531e-09
2.05349751e+00 3.80005065e-04 3.80005065e-09
2.04630223e+00 3.79445714e-04 3.79445714e-09
2.03913216e+00 3.78365016e-04 3.78365016e-09
2.03198721e+00 3.78477230e-04 3.78477230e-09
2.02486730e+00 3.76717874e-04 3.76717874e-09
2.01777234e+00 3.76457554e-04 3.76457554e-09
2.01070224e+00 3.76102503e-04 3.76102503e-09
2.00365691e+00 3.74952995e-04 3.74952995e-09
1.99663626e+00 3.73324981e-04 3.73324981e-09
1.98964022e+00 3.72353686e-04 3.72353686e-09
1.98266869e+00 3.72614746e-04 3.72614746e-09
1.97572159e+00 3.73019397e-04 3.73019397e-09
1.96879883e+00 3.73176804e-04 3.73176804e-09
1.96190033e+00 3.73148085e-04 3.73148085e-09
1.95502599e+00 3.71734141e-04 3.71734141e-09
1.94817575e+00 3.70410904e-04 3.70410904e-09
1.94134951e+00 3.69587010e-04 3.69587010e-09
1.93454718e+00 3.67276384e-04 3.67276384e-09
1.92776869e+00 3.63947567e-04 3.63947567e-09
1.92101396e+00 3.57261594e-04 3.57261594e-09
1.91428289e+00 3.52775679e-04 3.52775679e-09
1.90757540e+00 3.50575189e-04 3.50575189e-09
1.90089142e+00 3.51279336e-04 3.51279336e-09
1.89423086e+00 3.49332412e-04 3.49332412e-09
1.88759364e+00 3.51717875e-04 3.51717875e-09
1.88097967e+00 3.52278733e-04 3.52278733e-09
1.87438888e+00 3.50668889e-04 3.50668889e-09
1.86782118e+00 3.50502327e-04 3.50502327e-09
1.86127649e+00 3.53007275e-04 3.53007275e-09
1.85475474e+00 3.49947690e-04 3.49947690e-09
1.84825583e+00 3.48865978e-04 3.48865978e-09
1.84177970e+00 3.50365100e-04 3.50365100e-09
1.83532626e+00 3.48836615e-04 3.48836615e-09
1.82889544e+00 3.45018318e-04 3.45018318e-09
1.82248714e+00 3.48796452e-04 3.48796452e-09
1.81610130e+00 3.46224004e-04 3.46224004e-09
1.80973784e+00 3.48773272e-04 3.48773272e-09
1.80339667e+00 3.48633878e-04 3.48633878e-09
1.79707772e+00 3.47193425e-04 3.47193425e-09
1.79078091e+00 3.45934312e-04 3.45934312e-09
1.78450617e+00 3.46499781e-04 3.46499781e-09
1.77825341e+00 3.45762341e-04 3.45762341e-09
1.77202256e+00 3.45807047e-04 3.45807047e-09
1.76581355e+00 3.43874616e-04 3.43874616e-09
1.75962629e+00 3.44259563e-04 3.44259563e-09
1.75346071e+00 3.44176259e-04 3.44176259e-09
1.74731673e+00 3.43474297e-04 3.43474297e-09
1.74119428e+00 3.43954349e-04 3.43954349e-09
1.73509328e+00 3.44292242e-04 3.44292242e-09
1.72901367e+00 3.46061063e-04 3.46061063e-09
1.72295535e+00 3.45183384e-04 3.45183384e-09
1.71691826e+00 3.45799955e-04 3.45799955e-09
1.71090232e+00 3.45890176e-04 3.45890176e-09
1.70490747e+00 3.46253541e-04 3.46253541e-09
1.69893362e+00 3.46903576e-04 3.46903576e-09
1.69298070e+00 3.47048240e-04 3.47048240e-09
1.68704864e+00 3.47708467e-04 3.47708467e-09
1.68113736e+00 3.48658867e-04 3.48658867e-09
1.67524680e+00 3.48712564e-04 3.48712564e-09
