# wavelength[µm] (rp/rs)^2
3.147008369301856234e+00 1.676512132308994110e-02
3.136146893900205068e+00 1.676268900422935373e-02
3.125322905417576180e+00 1.674702269737955371e-02
3.114536274472918365e+00 1.675980001729553831e-02
3.103786872131721886e+00 1.672369114715982485e-02
3.093074569904478377e+00 1.677217855929595200e-02
3.082399239745142960e+00 1.669999937642656015e-02
3.071760754049604358e+00 1.672303356558507703e-02
3.061158985654159004e+00 1.670225089556183831e-02
3.050593807833992699e+00 1.670923530702470364e-02
3.040065094301664494e+00 1.666513633507505157e-02
3.029572719205598119e+00 1.668703074697290567e-02
3.019116557128576961e+00 1.663277259818750353e-02
3.008696483086243045e+00 1.670644951006141840e-02
2.998312372525607561e+00 1.656535636952643706e-02
2.987964101323558719e+00 1.668790551903295144e-02
2.977651545785378939e+00 1.658103463113893075e-02
2.967374582643266923e+00 1.660817501980841812e-02
2.957133089054861053e+00 1.656912971911038424e-02
2.946926942601776123e+00 1.662013345014717522e-02
2.936756021288137397e+00 1.660406126450686762e-02
2.926620203539121334e+00 1.659593321533365737e-02
2.916519368199505191e+00 1.655813232107462146e-02
2.906453394532213519e+00 1.667831245991595324e-02
2.896422162216882867e+00 1.655048500056292490e-02
2.886425551348417162e+00 1.658805566784097782e-02
2.876463442435556850e+00 1.649862987504447168e-02
2.866535716399450706e+00 1.653142281455941692e-02
2.856642254572232531e+00 1.659324057925145798e-02
2.846782938695599618e+00 1.659256945320439908e-02
2.836957650919405438e+00 1.659841787904599991e-02
2.827166273800245655e+00 1.657847586743605231e-02
2.817408690300056140e+00 1.664870800159266168e-02
2.807684783784714089e+00 1.656028735972310539e-02
2.797994438022642694e+00 1.654986648087152651e-02
2.788337537183423809e+00 1.653104357930730225e-02
2.778713965836412392e+00 1.655271907500628983e-02
2.769123608949356719e+00 1.662726991456753636e-02
2.759566351887023483e+00 1.655951507178691703e-02
2.750042080409825562e+00 1.658898749867741829e-02
2.740550680672460437e+00 1.662027127590280651e-02
2.731092039222547285e+00 1.652085704886249035e-02
2.721666042999270285e+00 1.657615415336894521e-02
2.712272579332028144e+00 1.653269297443849331e-02
2.702911535939085841e+00 1.653185684803154185e-02
2.693582800926234810e+00 1.654241776505295525e-02
2.684286262785454458e+00 1.652254912992548799e-02
2.675021810393577670e+00 1.644905615306207006e-02
2.665789333010966544e+00 1.640652212410286317e-02
2.656588720280182336e+00 1.642610571823413870e-02
2.647419862224673626e+00 1.647351348283315753e-02
2.638282649247456479e+00 1.647643680382904208e-02
2.629176972129806611e+00 1.645470557034151710e-02
2.620102722029954645e+00 1.649571820493064139e-02
2.611059790481780496e+00 1.645989908586182812e-02
2.602048069393523733e+00 1.647251389120918744e-02
2.593067451046486838e+00 1.650668909675532051e-02
2.584117828093748237e+00 1.643202234180373908e-02
2.575199093558881991e+00 1.657077267003084428e-02
2.566311140834673488e+00 1.652244615348344436e-02
2.557453863681850681e+00 1.650536987600868463e-02
2.548627156227812218e+00 1.645270330575581558e-02
2.539830912965361343e+00 1.649863903527650638e-02
2.531065028751445567e+00 1.647606675812509497e-02
2.522329398805897682e+00 1.647400291207016393e-02
2.513623918710186977e+00 1.652452801642138175e-02
2.504948484406169129e+00 1.650730542922808006e-02
2.496302992194841863e+00 1.644594232834397859e-02
2.487687338735106390e+00 1.644010361385072130e-02
2.479101421042532394e+00 1.650170661523184604e-02
2.470545136488123905e+00 1.643576255536989550e-02
2.462018382797097615e+00 1.642557176167893165e-02
2.453521058047657633e+00 1.638101413462201075e-02
2.445053060669776901e+00 1.638796061257922002e-02
2.436614289443983505e+00 1.634491558012224344e-02
2.428204643500150528e+00 1.636992213717667830e-02
2.419824022316292123e+00 1.633294803597102468e-02
