# wavelength[µm] (rp/rs)^2 error
1.94134951e+00 3.77232949e-04 3.77232949e-09
1.93454718e+00 3.77403489e-04 3.77403489e-09
1.92776869e+00 3.77855798e-04 3.77855798e-09
1.92101396e+00 3.77828106e-04 3.77828106e-09
1.91428289e+00 3.77489160e-04 3.77489160e-09
1.90757540e+00 3.77817454e-04 3.77817454e-09
1.90089142e+00 3.78458522e-04 3.78458522e-09
1.89423086e+00 3.77661542e-04 3.77661542e-09
1.88759364e+00 3.81487304e-04 3.81487304e-09
1.88097967e+00 3.82374986e-04 3.82374986e-09
1.87438888e+00 3.80440341e-04 3.80440341e-09
1.86782118e+00 3.80239351e-04 3.80239351e-09
1.86127649e+00 3.83332064e-04 3.83332064e-09
1.85475474e+00 3.79795373e-04 3.79795373e-09
1.84825583e+00 3.80161044e-04 3.80161044e-09
1.84177970e+00 3.81374139e-04 3.81374139e-09
1.83532626e+00 3.79545436e-04 3.79545436e-09
1.82889544e+00 3.73716785e-04 3.73716785e-09
1.82248714e+00 3.78408589e-04 3.78408589e-09
1.81610130e+00 3.75702136e-04 3.75702136e-09
1.80973784e+00 3.77200727e-04 3.77200727e-09
1.80339667e+00 3.77578967e-04 3.77578967e-09
1.79707772e+00 3.76505069e-04 3.76505069e-09
1.79078091e+00 3.73944290e-04 3.73944290e-09
1.78450617e+00 3.74997350e-04 3.74997350e-09
1.77825341e+00 3.73845546e-04 3.73845546e-09
1.77202256e+00 3.72181303e-04 3.72181303e-09
1.76581355e+00 3.69328061e-04 3.69328061e-09
1.75962629e+00 3.69918976e-04 3.69918976e-09
1.75346071e+00 3.69376759e-04 3.69376759e-09
1.74731673e+00 3.66512334e-04 3.66512334e-09
1.74119428e+00 3.65154919e-04 3.65154919e-09
1.73509328e+00 3.65583772e-04 3.65583772e-09
1.72901367e+00 3.67668839e-04 3.67668839e-09
1.72295535e+00 3.63955892e-04 3.63955892e-09
1.71691826e+00 3.64571587e-04 3.64571587e-09
1.71090232e+00 3.60718431e-04 3.60718431e-09
1.70490747e+00 3.59023754e-04 3.59023754e-09
1.69893362e+00 3.59340236e-04 3.59340236e-09
1.69298070e+00 3.57764844e-04 3.57764844e-09
1.68704864e+00 3.57887795e-04 3.57887795e-09
1.68113736e+00 3.57009524e-04 3.57009524e-09
1.67524680e+00 3.57716991e-04 3.57716991e-09
1.66937688e+00 3.59097453e-04 3.59097453e-09
1.66352752e+00 3.59213716e-04 3.59213716e-09
1.65769867e+00 3.60155812e-04 3.60155812e-09
1.65189023e+00 3.60862984e-04 3.60862984e-09
1.64610215e+00 3.60581357e-04 3.60581357e-09
